Agency,Est. annual meetings,Cadence,Est. cost ,Description,Info link,Calendar link,Agenda link,Livestreamed?,Notes
City of Minneapolis & Hennepin County gov,,,,,,,,,
Minneapolis City Council - full council,24,"Thursdays on 2nd week of cycle, 9:30am","$1,680",Approving items previously reviewed by committees; introducing notice of new proposals for ordinances,https://www.minneapolismn.gov/government/city-council/,https://lims.minneapolismn.gov/Calendar/all/upcoming,,Yes,
Minneapolis City Council - Committee of the Whole,24,Tuesday on 2nd week of cycle at 1:30,"$1,680",Reviews items from all committees before sending on to final vote. All 13 members are on this committee.,https://www.minneapolismn.gov/government/city-council/committees/committee-of-the-whole/,https://lims.minneapolismn.gov/Calendar/citycouncil/upcoming/COW,,Yes,
"Minneapolis City Council - Public Health, Safety & Equity Committee",24,"Wednesdays on 1st week of cycle, 1:30pm","$1,680",This committee oversees public health and community safety with a focus on equity.,https://www.minneapolismn.gov/government/city-council/committees/phse-committee/,https://lims.minneapolismn.gov/calendar/citycouncil/upcoming/PHSE,,Yes,
"Minneapolis City Council - Business, Housing & Zoning Committee",24,"Tuesdays on 1st week of cycle, 1:30pm","$1,680","This committee oversees all matters related to economic development; land use, development, and zoning; housing policy; employment & training programs; and business licensing.",https://www.minneapolismn.gov/government/city-council/committees/business-housing-zoning-committee/,https://lims.minneapolismn.gov/Calendar/citycouncil/upcoming/BHZ,,Yes,
Minneapolis City Council - Budget Committee,24,"Mondays on 2nd week of cycle, 1:30pm","$1,680",This committee leads the Council's review of the Mayor’s recommended budget and receives department performance reports. All 13 council members are on this committee.,https://www.minneapolismn.gov/government/city-council/committees/budget/,https://lims.minneapolismn.gov/Calendar/citycouncil/upcoming/Budget,,Yes,
Minneapolis City Council - Climate & Infrastructure Committee,24,"Thursdays on 1st week of cycle, 1:30pm","$1,680",This committee oversees all matters related to community infrastructure and policies related to the built environment.,https://www.minneapolismn.gov/government/city-council/committees/climate-infrastructure-committee/,https://lims.minneapolismn.gov/Calendar/citycouncil/upcoming/CI,,Yes,
"Minneapolis City Council - Enterprise and Labor Relations Committee (formerly Administration & Enterprise Oversight, AEO)",24,"Mondays on 1st week of cycle, 1:30pm","$1,680","This committee oversees human resources, labor relations, and general administrative functions.",https://www.minneapolismn.gov/government/city-council/committees/enterprise-labor-relations-committee/,https://lims.minneapolismn.gov/Calendar/citycouncil/upcoming/ELR,,Yes,
Minneapolis City Council - Intergovernmental Relations Committee,6,Tuesdays - monthly during leg session; otherwise seems sporadic,$420,This committee oversees the City’s federal and state legislative platforms and priorities. It provides local approval for special state legislation. All 13 members are on this committee.,https://www.minneapolismn.gov/government/city-council/committees/intergovernmental-relations-committee/,https://lims.minneapolismn.gov/calendar/citycouncil/upcoming/IGR,,Yes,
Audit Committee (includes some City Council members),5,Mondays - quarterly/sporadic,350,This committee directs the City’s internal audits. It also makes sure that the City follows applicable laws and regulations.,https://www.minneapolismn.gov/government/city-council/committees/audit-committee/,https://lims.minneapolismn.gov/calendar/independent/upcoming/audit,https://lims.minneapolismn.gov/IndependentBodies/Meetings/Audit,Yes,sometimes it does have really good info; sometimes i think we could still get that info without sending a Doc (bc it's all in the presentaetions) 
